            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2459119.500000000, A.D. 2020-Sep-27 00:00:00.0000, -1.248264187243132E+08, -1.559723655181846E+08, -1.610888040438876E+07,  1.02285854E+01,  1.26691696E+01,  6.66441196E+00,
2459120.500000000, A.D. 2020-Sep-28 00:00:00.0000, -1.233408190806151E+08, -1.572993187868040E+08, -1.625445680797090E+07,  1.02830618E+01,  1.25592160E+01,  6.73809720E+00,
2459121.500000000, A.D. 2020-Sep-29 00:00:00.0000, -1.218402282282200E+08, -1.586068979858617E+08, -1.639804178352641E+07,  1.03355894E+01,  1.24486307E+01,  6.81092485E+00,
2459122.500000000, A.D. 2020-Sep-30 00:00:00.0000, -1.203248600159293E+08, -1.598949827447770E+08, -1.653962182198364E+07,  1.03861689E+01,  1.23374431E+01,  6.88288446E+00,
2459123.500000000, A.D. 2020-Oct-01 00:00:00.0000, -1.187949282208575E+08, -1.611634541996417E+08, -1.667918357370476E+07,  1.04348012E+01,  1.22256823E+01,  6.95396575E+00,
2459124.500000000, A.D. 2020-Oct-02 00:00:00.0000, -1.172506465617362E+08, -1.624121949668002E+08, -1.681671384564561E+07,  1.04814878E+01,  1.21133773E+01,  7.02415865E+00,
2459125.500000000, A.D. 2020-Oct-03 00:00:00.0000, -1.156922287126150E+08, -1.636410891171598E+08, -1.695219959859126E+07,  1.05262307E+01,  1.20005569E+01,  7.09345322E+00,
2459126.500000000, A.D. 2020-Oct-04 00:00:00.0000, -1.141198883169472E+08, -1.648500221512247E+08, -1.708562794446684E+07,  1.05690319E+01,  1.18872497E+01,  7.16183972E+00,
2459127.500000000, A.D. 2020-Oct-05 00:00:00.0000, -1.125338390020514E+08, -1.660388809748470E+08, -1.721698614372236E+07,  1.06098940E+01,  1.17734843E+01,  7.22930855E+00,
2459128.500000000, A.D. 2020-Oct-06 00:00:00.0000, -1.109342943939406E+08, -1.672075538756868E+08, -1.734626160279135E+07,  1.06488201E+01,  1.16592888E+01,  7.29585025E+00,
2459129.500000000, A.D. 2020-Oct-07 00:00:00.0000, -1.093214681325088E+08, -1.683559305003757E+08, -1.747344187162253E+07,  1.06858132E+01,  1.15446915E+01,  7.36145553E+00,
2459130.500000000, A.D. 2020-Oct-08 00:00:00.0000, -1.076955738870691E+08, -1.694839018323771E+08, -1.759851464128355E+07,  1.07208771E+01,  1.14297203E+01,  7.42611523E+00,
2459131.500000000, A.D. 2020-Oct-09 00:00:00.0000, -1.060568253722332E+08, -1.705913601705374E+08, -1.772146774163663E+07,  1.07540157E+01,  1.13144031E+01,  7.48982033E+00,
2459132.500000000, A.D. 2020-Oct-10 00:00:00.0000, -1.044054363641267E+08, -1.716781991083225E+08, -1.784228913908532E+07,  1.07852334E+01,  1.11987673E+01,  7.55256194E+00,
2459133.500000000, A.D. 2020-Oct-11 00:00:00.0000, -1.027416207169329E+08, -1.727443135137333E+08, -1.796096693439186E+07,  1.08145348E+01,  1.10828405E+01,  7.61433130E+00,
2459134.500000000, A.D. 2020-Oct-12 00:00:00.0000, -1.010655923797584E+08, -1.737895995098967E+08, -1.807748936056459E+07,  1.08419248E+01,  1.09666499E+01,  7.67511979E+00,
2459135.500000000, A.D. 2020-Oct-13 00:00:00.0000, -9.937756541381380E+07, -1.748139544563263E+08, -1.819184478081497E+07,  1.08674088E+01,  1.08502227E+01,  7.73491889E+00,
2459136.500000000, A.D. 2020-Oct-14 00:00:00.0000, -9.767775400990517E+07, -1.758172769308475E+08, -1.830402168658373E+07,  1.08909925E+01,  1.07335857E+01,  7.79372021E+00,
2459137.500000000, A.D. 2020-Oct-15 00:00:00.0000, -9.596637250622909E+07, -1.767994667121848E+08, -1.841400869563572E+07,  1.09126817E+01,  1.06167657E+01,  7.85151548E+00,
2459138.500000000, A.D. 2020-Oct-16 00:00:00.0000, -9.424363540646726E+07, -1.777604247632056E+08, -1.852179455022328E+07,  1.09324828E+01,  1.04997893E+01,  7.90829654E+00,
2459139.500000000, A.D. 2020-Oct-17 00:00:00.0000, -9.250975739817525E+07, -1.787000532148185E+08, -1.862736811531717E+07,  1.09504024E+01,  1.03826829E+01,  7.96405532E+00,
2459140.500000000, A.D. 2020-Oct-18 00:00:00.0000, -9.076495337146115E+07, -1.796182553505203E+08, -1.873071837690558E+07,  1.09664474E+01,  1.02654727E+01,  8.01878390E+00,
2459141.500000000, A.D. 2020-Oct-19 00:00:00.0000, -8.900943843794934E+07, -1.805149355915924E+08, -1.883183444036029E+07,  1.09806249E+01,  1.01481847E+01,  8.07247443E+00,
2459142.500000000, A.D. 2020-Oct-20 00:00:00.0000, -8.724342795002598E+07, -1.813899994829407E+08, -1.893070552886983E+07,  1.09929426E+01,  1.00308447E+01,  8.12511918E+00,
2459143.500000000, A.D. 2020-Oct-21 00:00:00.0000, -8.546713752036183E+07, -1.822433536795792E+08, -1.902732098193954E+07,  1.10034082E+01,  9.91347859E+00,  8.17671052E+00,
2459144.500000000, A.D. 2020-Oct-22 00:00:00.0000, -8.368078304170923E+07, -1.830749059337524E+08, -1.912167025395857E+07,  1.10120298E+01,  9.79611172E+00,  8.22724090E+00,
2459145.500000000, A.D. 2020-Oct-23 00:00:00.0000, -8.188458070696980E+07, -1.838845650826990E+08, -1.921374291283306E+07,  1.10188159E+01,  9.67876946E+00,  8.27670291E+00,
2459146.500000000, A.D. 2020-Oct-24 00:00:00.0000, -8.007874702952977E+07, -1.846722410370518E+08, -1.930352863868575E+07,  1.10237752E+01,  9.56147696E+00,  8.32508919E+00,
2459147.500000000, A.D. 2020-Oct-25 00:00:00.0000, -7.826349886386012E+07, -1.854378447698748E+08, -1.939101722262204E+07,  1.10269167E+01,  9.44425919E+00,  8.37239249E+00,
2459148.500000000, A.D. 2020-Oct-26 00:00:00.0000, -7.643905342637861E+07, -1.861812883063368E+08, -1.947619856556217E+07,  1.10282497E+01,  9.32714093E+00,  8.41860568E+00,
2459149.500000000, A.D. 2020-Oct-27 00:00:00.0000, -7.460562831657153E+07, -1.869024847140203E+08, -1.955906267713976E+07,  1.10277837E+01,  9.21014680E+00,  8.46372168E+00,
2459150.500000000, A.D. 2020-Oct-28 00:00:00.0000, -7.276344153837249E+07, -1.876013480938679E+08, -1.963959967466634E+07,  1.10255287E+01,  9.09330122E+00,  8.50773352E+00,
2459151.500000000, A.D. 2020-Oct-29 00:00:00.0000, -7.091271152179612E+07, -1.882777935717634E+08, -1.971779978216253E+07,  1.10214948E+01,  8.97662844E+00,  8.55063433E+00,
2459152.500000000, A.D. 2020-Oct-30 00:00:00.0000, -6.905365714482510E+07, -1.889317372907521E+08, -1.979365332945532E+07,  1.10156923E+01,  8.86015252E+00,  8.59241730E+00,
2459153.500000000, A.D. 2020-Oct-31 00:00:00.0000, -6.718649775554766E+07, -1.895630964038986E+08, -1.986715075134210E+07,  1.10081321E+01,  8.74389735E+00,  8.63307573E+00,
2459154.500000000, A.D. 2020-Nov-01 00:00:00.0000, -6.531145319454474E+07, -1.901717890677850E+08, -1.993828258682130E+07,  1.09988251E+01,  8.62788662E+00,  8.67260300E+00,
2459155.500000000, A.D. 2020-Nov-02 00:00:00.0000, -6.342874381752466E+07, -1.907577344366520E+08, -2.000703947838980E+07,  1.09877825E+01,  8.51214387E+00,  8.71099257E+00,
2459156.500000000, A.D. 2020-Nov-03 00:00:00.0000, -6.153859051820373E+07, -1.913208526571838E+08, -2.007341217140789E+07,  1.09750159E+01,  8.39669242E+00,  8.74823798E+00,
2459157.500000000, A.D. 2020-Nov-04 00:00:00.0000, -5.964121475143140E+07, -1.918610648639400E+08, -2.013739151353150E+07,  1.09605371E+01,  8.28155543E+00,  8.78433288E+00,
2459158.500000000, A.D. 2020-Nov-05 00:00:00.0000, -5.773683855655878E+07, -1.923782931754391E+08, -2.019896845421206E+07,  1.09443581E+01,  8.16675586E+00,  8.81927097E+00,
2459159.500000000, A.D. 2020-Nov-06 00:00:00.0000, -5.582568458104880E+07, -1.928724606908951E+08, -2.025813404426493E+07,  1.09264913E+01,  8.05231650E+00,  8.85304605E+00,
2459160.500000000, A.D. 2020-Nov-07 00:00:00.0000, -5.390797610432721E+07, -1.933434914876118E+08, -2.031487943550611E+07,  1.09069492E+01,  7.93825995E+00,  8.88565201E+00,
2459161.500000000, A.D. 2020-Nov-08 00:00:00.0000, -5.198393706187292E+07, -1.937913106190405E+08, -2.036919588045844E+07,  1.08857448E+01,  7.82460863E+00,  8.91708279E+00,
2459162.500000000, A.D. 2020-Nov-09 00:00:00.0000, -5.005379206954679E+07, -1.942158441135042E+08, -2.042107473212697E+07,  1.08628911E+01,  7.71138476E+00,  8.94733245E+00,
2459163.500000000, A.D. 2020-Nov-10 00:00:00.0000, -4.811776644815745E+07, -1.946170189735936E+08, -2.047050744384475E+07,  1.08384015E+01,  7.59861039E+00,  8.97639510E+00,
2459164.500000000, A.D. 2020-Nov-11 00:00:00.0000, -4.617608624826365E+07, -1.949947631762423E+08, -2.051748556918935E+07,  1.08122896E+01,  7.48630738E+00,  9.00426496E+00,
2459165.500000000, A.D. 2020-Nov-12 00:00:00.0000, -4.422897827521106E+07, -1.953490056734850E+08, -2.056200076197098E+07,  1.07845695E+01,  7.37449740E+00,  9.03093629E+00,
2459166.500000000, A.D. 2020-Nov-13 00:00:00.0000, -4.227667011440376E+07, -1.956796763939072E+08, -2.060404477629219E+07,  1.07552551E+01,  7.26320194E+00,  9.05640348E+00,
2459167.500000000, A.D. 2020-Nov-14 00:00:00.0000, -4.031939015680810E+07, -1.959867062447913E+08, -2.064360946668112E+07,  1.07243609E+01,  7.15244228E+00,  9.08066097E+00,
2459168.500000000, A.D. 2020-Nov-15 00:00:00.0000, -3.835736762468848E+07, -1.962700271149691E+08, -2.068068678829774E+07,  1.06919017E+01,  7.04223954E+00,  9.10370328E+00,
2459169.500000000, A.D. 2020-Nov-16 00:00:00.0000, -3.639083259757382E+07, -1.965295718783855E+08, -2.071526879721498E+07,  1.06578922E+01,  6.93261464E+00,  9.12552502E+00,
2459170.500000000, A.D. 2020-Nov-17 00:00:00.0000, -3.442001603845316E+07, -1.967652743983846E+08, -2.074734765077512E+07,  1.06223476E+01,  6.82358830E+00,  9.14612088E+00,
2459171.500000000, A.D. 2020-Nov-18 00:00:00.0000, -3.244514982019934E+07, -1.969770695327250E+08, -2.077691560802226E+07,  1.05852834E+01,  6.71518108E+00,  9.16548564E+00,
2459172.500000000, A.D. 2020-Nov-19 00:00:00.0000, -3.046646675221934E+07, -1.971648931393344E+08, -2.080396503021239E+07,  1.05467153E+01,  6.60741331E+00,  9.18361413E+00,
2459173.500000000, A.D. 2020-Nov-20 00:00:00.0000, -2.848420060732977E+07, -1.973286820828127E+08, -2.082848838140148E+07,  1.05066590E+01,  6.50030517E+00,  9.20050130E+00,
2459174.500000000, A.D. 2020-Nov-21 00:00:00.0000, -2.649858614885568E+07, -1.974683742416952E+08, -2.085047822911307E+07,  1.04651309E+01,  6.39387661E+00,  9.21614216E+00,
2459175.500000000, A.D. 2020-Nov-22 00:00:00.0000, -2.450985915795131E+07, -1.975839085164846E+08, -2.086992724508639E+07,  1.04221472E+01,  6.28814742E+00,  9.23053181E+00,
2459176.500000000, A.D. 2020-Nov-23 00:00:00.0000, -2.251825646114052E+07, -1.976752248384648E+08, -2.088682820610622E+07,  1.03777247E+01,  6.18313719E+00,  9.24366543E+00,
2459177.500000000, A.D. 2020-Nov-24 00:00:00.0000, -2.052401595807518E+07, -1.977422641793073E+08, -2.090117399491566E+07,  1.03318802E+01,  6.07886529E+00,  9.25553830E+00,
2459178.500000000, A.D. 2020-Nov-25 00:00:00.0000, -1.852737664950894E+07, -1.977849685614829E+08, -2.091295760121323E+07,  1.02846308E+01,  5.97535093E+00,  9.26614575E+00,
2459179.500000000, A.D. 2020-Nov-26 00:00:00.0000, -1.652857866548421E+07, -1.978032810694913E+08, -2.092217212273574E+07,  1.02359940E+01,  5.87261312E+00,  9.27548323E+00,
2459180.500000000, A.D. 2020-Nov-27 00:00:00.0000, -1.452786329372958E+07, -1.977971458619226E+08, -2.092881076642787E+07,  1.01859873E+01,  5.77067066E+00,  9.28354626E+00,
2459181.500000000, A.D. 2020-Nov-28 00:00:00.0000, -1.252547300826478E+07, -1.977665081843634E+08, -2.093286684970073E+07,  1.01346285E+01,  5.66954218E+00,  9.29033046E+00,
2459182.500000000, A.D. 2020-Nov-29 00:00:00.0000, -1.052165149821009E+07, -1.977113143831636E+08, -2.093433380178034E+07,  1.00819358E+01,  5.56924607E+00,  9.29583151E+00,
2459183.500000000, A.D. 2020-Nov-30 00:00:00.0000, -8.516643696796760E+06, -1.976315119200776E+08, -2.093320516514780E+07,  1.00279275E+01,  5.46980058E+00,  9.30004522E+00,
2459184.500000000, A.D. 2020-Dec-01 00:00:00.0000, -6.510695810574753E+06, -1.975270493877964E+08, -2.092947459707272E+07,  9.97262213E+00,  5.37122372E+00,  9.30296745E+00,
2459185.500000000, A.D. 2020-Dec-02 00:00:00.0000, -4.504055348813699E+06, -1.973978765263866E+08, -2.092313587124215E+07,  9.91603847E+00,  5.27353331E+00,  9.30459418E+00,
